,res_id,filetype,filesize_mb,event,duration_ms
676,resource_337,,0,looping overhead,0
677,resource_338,,0,resource creation,125
678,resource_338,,0,looping overhead,0
679,resource_339,,0,resource creation,103
680,resource_339,,0,looping overhead,0
681,resource_340,,0,resource creation,172
682,resource_340,,0,looping overhead,0
683,resource_341,,0,resource creation,120
684,resource_341,,0,looping overhead,0
685,resource_342,,0,resource creation,110
686,resource_342,,0,looping overhead,0
687,resource_343,,0,resource creation,119
688,resource_343,,0,looping overhead,0
689,resource_344,,0,resource creation,100
690,resource_344,,0,looping overhead,0
691,resource_345,,0,resource creation,129
692,resource_345,,0,looping overhead,0
693,resource_346,,0,resource creation,97
694,resource_346,,0,looping overhead,0
695,resource_347,,0,resource creation,102
696,resource_347,,0,looping overhead,0
697,resource_348,,0,resource creation,116
698,resource_348,,0,looping overhead,0
699,resource_349,,0,resource creation,100
700,resource_349,,0,looping overhead,0
701,resource_350,,0,resource creation,137
702,resource_350,,0,looping overhead,0
703,resource_351,,0,resource creation,111
704,resource_351,,0,looping overhead,0
705,resource_352,,0,resource creation,105
706,resource_352,,0,looping overhead,0
707,resource_353,,0,resource creation,122
708,resource_353,,0,looping overhead,0
709,resource_354,,0,resource creation,97
710,resource_354,,0,looping overhead,0
711,resource_355,,0,resource creation,134
712,resource_355,,0,looping overhead,0
713,resource_356,,0,resource creation,101
714,resource_356,,0,looping overhead,0
715,resource_357,,0,resource creation,120
716,resource_357,,0,looping overhead,0
717,resource_358,,0,resource creation,130
718,resource_358,,0,looping overhead,0
719,resource_359,,0,resource creation,118
720,resource_359,,0,looping overhead,0
721,resource_360,,0,resource creation,139
722,resource_360,,0,looping overhead,0
723,resource_361,,0,resource creation,106
724,resource_361,,0,looping overhead,0
725,resource_362,,0,resource creation,101
726,resource_362,,0,looping overhead,0
727,resource_363,,0,resource creation,124
728,resource_363,,0,looping overhead,0
729,resource_364,,0,resource creation,104
730,resource_364,,0,looping overhead,0
731,resource_365,,0,resource creation,139
732,resource_365,,0,looping overhead,0
733,resource_366,,0,resource creation,104
734,resource_366,,0,looping overhead,0
735,resource_367,,0,resource creation,104
736,resource_367,,0,looping overhead,0
737,resource_368,,0,resource creation,127
738,resource_368,,0,looping overhead,0
739,resource_369,,0,resource creation,113
740,resource_369,,0,looping overhead,0
741,resource_370,,0,resource creation,124
742,resource_370,,0,looping overhead,0
743,resource_371,,0,resource creation,103
744,resource_371,,0,looping overhead,0
745,resource_372,,0,resource creation,110
746,resource_372,,0,looping overhead,0
747,resource_373,,0,resource creation,126
748,resource_373,,0,looping overhead,0
749,resource_374,,0,resource creation,156
750,resource_374,,0,looping overhead,0
751,resource_375,,0,resource creation,132
752,resource_375,,0,looping overhead,0
753,resource_376,,0,resource creation,105
754,resource_376,,0,looping overhead,0
755,resource_377,,0,resource creation,107
756,resource_377,,0,looping overhead,0
757,resource_378,,0,resource creation,134
758,resource_378,,0,looping overhead,0
759,resource_379,,0,resource creation,105
760,resource_379,,0,looping overhead,0
761,resource_380,,0,resource creation,133
762,resource_380,,0,looping overhead,0
763,resource_381,,0,resource creation,102
764,resource_381,,0,looping overhead,0
765,resource_382,,0,resource creation,139
766,resource_382,,0,looping overhead,0
767,resource_383,,0,resource creation,140
768,resource_383,,0,looping overhead,0
769,resource_384,,0,resource creation,116
770,resource_384,,0,looping overhead,0
771,resource_385,,0,resource creation,148
772,resource_385,,0,looping overhead,0
773,resource_386,,0,resource creation,119
774,resource_386,,0,looping overhead,0
775,resource_387,,0,resource creation,125
776,resource_387,,0,looping overhead,0
777,resource_388,,0,resource creation,121
778,resource_388,,0,looping overhead,0
779,resource_389,,0,resource creation,99
780,resource_389,,0,looping overhead,0
781,resource_390,,0,resource creation,127
782,resource_390,,0,looping overhead,0
783,resource_391,,0,resource creation,102
784,resource_391,,0,looping overhead,0
785,resource_392,,0,resource creation,105
786,resource_392,,0,looping overhead,0
787,resource_393,,0,resource creation,118
788,resource_393,,0,looping overhead,0
789,resource_394,,0,resource creation,98
790,resource_394,,0,looping overhead,0
791,resource_395,,0,resource creation,146
792,resource_395,,0,looping overhead,0
