,res_id,filetype,filesize_mb,event,duration_microsec
463,resource_231,,0,resource creation,129321
464,resource_231,,0,looping overhead,126
465,resource_232,,0,resource creation,157000
466,resource_232,,0,looping overhead,107
467,resource_233,,0,resource creation,137262
468,resource_233,,0,looping overhead,119
469,resource_234,,0,resource creation,132632
470,resource_234,,0,looping overhead,106
471,resource_235,,0,resource creation,156299
472,resource_235,,0,looping overhead,103
473,resource_236,,0,resource creation,120204
474,resource_236,,0,looping overhead,105
475,resource_237,,0,resource creation,150462
476,resource_237,,0,looping overhead,102
477,resource_238,,0,resource creation,184658
478,resource_238,,0,looping overhead,112
479,resource_239,,0,resource creation,156865
480,resource_239,,0,looping overhead,146
481,resource_240,,0,resource creation,127802
482,resource_240,,0,looping overhead,110
483,resource_241,,0,resource creation,157036
484,resource_241,,0,looping overhead,100
485,resource_242,,0,resource creation,174437
486,resource_242,,0,looping overhead,97
487,resource_243,,0,resource creation,123285
488,resource_243,,0,looping overhead,134
489,resource_244,,0,resource creation,156068
490,resource_244,,0,looping overhead,124
491,resource_245,,0,resource creation,174143
492,resource_245,,0,looping overhead,126
493,resource_246,,0,resource creation,154770
494,resource_246,,0,looping overhead,115
495,resource_247,,0,resource creation,128388
496,resource_247,,0,looping overhead,124
497,resource_248,,0,resource creation,138331
498,resource_248,,0,looping overhead,103
499,resource_249,,0,resource creation,162803
500,resource_249,,0,looping overhead,104
501,resource_250,,0,resource creation,132760
502,resource_250,,0,looping overhead,104
503,resource_251,,0,resource creation,172142
504,resource_251,,0,looping overhead,102
505,resource_252,,0,resource creation,124819
506,resource_252,,0,looping overhead,175
507,resource_253,,0,resource creation,146467
508,resource_253,,0,looping overhead,107
509,resource_254,,0,resource creation,144889
510,resource_254,,0,looping overhead,103
511,resource_255,,0,resource creation,139253
512,resource_255,,0,looping overhead,106
513,resource_256,,0,resource creation,163061
514,resource_256,,0,looping overhead,128
515,resource_257,,0,resource creation,134666
516,resource_257,,0,looping overhead,147
517,resource_258,,0,resource creation,170103
518,resource_258,,0,looping overhead,114
519,resource_259,,0,resource creation,135180
520,resource_259,,0,looping overhead,137
521,resource_260,,0,resource creation,173758
522,resource_260,,0,looping overhead,174
523,resource_261,,0,resource creation,136437
524,resource_261,,0,looping overhead,122
525,resource_262,,0,resource creation,140835
526,resource_262,,0,looping overhead,130
527,resource_263,,0,resource creation,156211
528,resource_263,,0,looping overhead,113
529,resource_264,,0,resource creation,119244
530,resource_264,,0,looping overhead,105
531,resource_265,,0,resource creation,151023
532,resource_265,,0,looping overhead,118
533,resource_266,,0,resource creation,129713
534,resource_266,,0,looping overhead,122
535,resource_267,,0,resource creation,167674
536,resource_267,,0,looping overhead,136
537,resource_268,,0,resource creation,152004
538,resource_268,,0,looping overhead,179
539,resource_269,,0,resource creation,166894
540,resource_269,,0,looping overhead,108
541,resource_270,,0,resource creation,167116
542,resource_270,,0,looping overhead,107
543,resource_271,,0,resource creation,129154
544,resource_271,,0,looping overhead,104
545,resource_272,,0,resource creation,201673
546,resource_272,,0,looping overhead,107
547,resource_273,,0,resource creation,140833
548,resource_273,,0,looping overhead,105
549,resource_274,,0,resource creation,151174
550,resource_274,,0,looping overhead,107
551,resource_275,,0,resource creation,132449
552,resource_275,,0,looping overhead,131
553,resource_276,,0,resource creation,150724
554,resource_276,,0,looping overhead,136
555,resource_277,,0,resource creation,171106
556,resource_277,,0,looping overhead,130
557,resource_278,,0,resource creation,182306
558,resource_278,,0,looping overhead,107
559,resource_279,,0,resource creation,150336
560,resource_279,,0,looping overhead,110
561,resource_280,,0,resource creation,121173
562,resource_280,,0,looping overhead,102
563,resource_281,,0,resource creation,157324
564,resource_281,,0,looping overhead,159
565,resource_282,,0,resource creation,121932
566,resource_282,,0,looping overhead,147
567,resource_283,,0,resource creation,144453
568,resource_283,,0,looping overhead,153
569,resource_284,,0,resource creation,177470
570,resource_284,,0,looping overhead,176
571,resource_285,,0,resource creation,137246
572,resource_285,,0,looping overhead,203
573,resource_286,,0,resource creation,174126
574,resource_286,,0,looping overhead,106
575,resource_287,,0,resource creation,166591
576,resource_287,,0,looping overhead,134
577,resource_288,,0,resource creation,148911
578,resource_288,,0,looping overhead,138
579,resource_289,,0,resource creation,126207
580,resource_289,,0,looping overhead,104
581,resource_290,,0,resource creation,139921
582,resource_290,,0,looping overhead,104
583,resource_291,,0,resource creation,161826
584,resource_291,,0,looping overhead,108
585,resource_292,,0,resource creation,126645
586,resource_292,,0,looping overhead,115
587,resource_293,,0,resource creation,165509
588,resource_293,,0,looping overhead,112
589,resource_294,,0,resource creation,127357
590,resource_294,,0,looping overhead,135
591,resource_295,,0,resource creation,161621
592,resource_295,,0,looping overhead,173
593,resource_296,,0,resource creation,153162
594,resource_296,,0,looping overhead,119
595,resource_297,,0,resource creation,159137
596,resource_297,,0,looping overhead,139
597,resource_298,,0,resource creation,164472
598,resource_298,,0,looping overhead,113
599,resource_299,,0,resource creation,134604
600,resource_299,,0,looping overhead,109
601,resource_300,,0,resource creation,176866
602,resource_300,,0,looping overhead,111
603,resource_301,,0,resource creation,124429
604,resource_301,,0,looping overhead,111
605,resource_302,,0,resource creation,143323
606,resource_302,,0,looping overhead,101
607,resource_303,,0,resource creation,125918
608,resource_303,,0,looping overhead,117
609,resource_304,,0,resource creation,161425
610,resource_304,,0,looping overhead,160
611,resource_305,,0,resource creation,233498
612,resource_305,,0,looping overhead,110
613,resource_306,,0,resource creation,133504
614,resource_306,,0,looping overhead,120
615,resource_307,,0,resource creation,150171
616,resource_307,,0,looping overhead,116
617,resource_308,,0,resource creation,115823
618,resource_308,,0,looping overhead,131
619,resource_309,,0,resource creation,150036
620,resource_309,,0,looping overhead,99
621,resource_310,,0,resource creation,129528
622,resource_310,,0,looping overhead,105
623,resource_311,,0,resource creation,144760
624,resource_311,,0,looping overhead,104
625,resource_312,,0,resource creation,200841
626,resource_312,,0,looping overhead,158
627,resource_313,,0,resource creation,144128
628,resource_313,,0,looping overhead,152
629,resource_314,,0,resource creation,167045
630,resource_314,,0,looping overhead,102
631,resource_315,,0,resource creation,122337
632,resource_315,,0,looping overhead,121
633,resource_316,,0,resource creation,158842
634,resource_316,,0,looping overhead,115
635,resource_317,,0,resource creation,125621
636,resource_317,,0,looping overhead,128
637,resource_318,,0,resource creation,139464
638,resource_318,,0,looping overhead,114
639,resource_319,,0,resource creation,153617
640,resource_319,,0,looping overhead,105
641,resource_320,,0,resource creation,126768
642,resource_320,,0,looping overhead,126
643,resource_321,,0,resource creation,158368
644,resource_321,,0,looping overhead,145
645,resource_322,,0,resource creation,139984
646,resource_322,,0,looping overhead,116
647,resource_323,,0,resource creation,158414
